MPC;exp_name
MPC_331;20170605_MG_MM_Cyto763_(CytoScanHD_Array)
MPC_2865;20170605_MG_MM_Cyto767_(CytoScanHD_Array)
MPC_527;20170605_MG_MM_Cyto770_(CytoScanHD_Array)
MPC_143;20170605_MG_MM_Cyto771_(CytoScanHD_Array)_2
MPC_364;20170605_MG_MM_Cyto772_(CytoScanHD_Array)
MPC_379;20170627_MG_MM_Cyto774_(CytoScanHD_Array)
MPC_296;20170627_MG_MM_Cyto775_(CytoScanHD_Array)
MPC_381;20170627_MG_MM_Cyto776_(CytoScanHD_Array)
MPC_385;20170627_MG_MM_Cyto778_(CytoScanHD_Array)
MPC_366;20170704_MG_MM_Cyto786_(CytoScanHD_Array)
MPC_376;20170704_MG_MM_Cyto790_(CytoScanHD_Array)
MPC_2210;20170704_MG_MM_Cyto792_(CytoScanHD_Array)
MPC_463;20170717_MG_MM_Cyto795_(CytoScanHD_Array)
MPC_271;20170717_MG_MM_Cyto796_(CytoScanHD_Array)
MPC_279;20170717_MG_MM_Cyto797_(CytoScanHD_Array)
MPC_70;20170726_MG_MM_Cyto808_(CytoScanHD_Array)
MPC_98;MM_cytoscanHD_08282017_816_(CytoScanHD_Array)
MPC_84;MM_cytoscanHD_10022017_855_(CytoScanHD_Array)
MPC_77;MM_cytoscanHD_10262017_869_(CytoScanHD_Array)
MPC_78;MM_cytoscanHD_11092017_873_(CytoScanHD_Array)
MPC_86;MM_cytoscanHD_11092017_874_(CytoScanHD_Array)
MPC_105;MM_cytoscanHD_11092017_876_(CytoScanHD_Array)
MPC_134;MM_cytoscanHD_11092017_879_(CytoScanHD_Array)
MPC_112;MM_cytoscanHD_11162017_880_(CytoScanHD_Array)
MPC_142;MM_cytoscanHD_11162017_884_(CytoScanHD_Array)
MPC_111;MM_cytoscanHD_11302017_891_(CytoScanHD_Array)
MPC_83;MM_cytoscanHD_011518_904_(CytoScanHD_Array)
MPC_92;MM_cytoscanHD3042018_964_(CytoScanHD_Array)
MPC_129;MM_CytoscanHD_17042018_968_(CytoScanHD_Array)
MPC_139;MM_CytoscanHD_07052018_985_(CytoScanHD_Array)
MPC_145;MM_CytoscanHD_07052018_987_(CytoScanHD_Array)
MPC_416;MM_CytoscanHD_07052018_992_(CytoScanHD_Array)
MPC_101;MM__CytoscanHD_10052018_993_(CytoScanHD_Array)
MPC_121;MM__CytoscanHD_10052018_995_(CytoScanHD_Array)
MPC_140;MM__CytoscanHD_24052018_1004_(CytoScanHD_Array)
MPC_136;MM__CytoscanHD_19072018_1042_(CytoScanHD_Array)
MPC_146;MM__CytoscanHD_19072018_1044_(CytoScanHD_Array)
MPC_153;MM__CytoscanHD_19072018_1046_(CytoScanHD_Array)
MPC_881;MM_cytoscanHD_08032019_1072_(CytoScanHD_Array)
MPC_303;MM_cytoscanHD_08032019_1075_(CytoScanHD_Array)
MPC_374;MM_cytoscanHD_15032019_1076_(CytoScanHD_Array)
MPC_486;MM_cytoscanHD_15032019_1079_(CytoScanHD_Array)
MPC_404;MM_cytoscanHD_28032019_1080_(CytoScanHD_Array)
MPC_407;MM_cytoscanHD_05042019_1084_(CytoScanHD_Array)
MPC_382;MM_cytoscanHD_05042019_1085_(CytoScanHD_Array)
MPC_148;MM_cytoscanHD_05042019_1088_(CytoScanHD_Array)
MPC_168;MM_cytoscanHD_11042019_1094_(CytoScanHD_Array)
MPC_894;MM_cytoscanHD_18042019_1096_(CytoScanHD_Array)
MPC_1107;MM_cytoscanHD_30042019_1102_(CytoScanHD_Array)
MPC_363;MM_cytoscanHD_30042019_1103_(CytoScanHD_Array)_2
MPC_165;MM_cytoscanHD_30042019_1105_(CytoScanHD_Array)
MPC_127;MM_cytoscanHD_30042019_1107_(CytoScanHD_Array)
MPC_1768;MM_cytoscanHD_09052019_1110_(CytoScanHD_Array)
MPC_370;MM_cytoscanHD_09052019_1112_(CytoScanHD_Array)
MPC_281;MM_cytoscanHD_29052019_1118_(CytoScanHD_Array)
MPC_393;MM_cytoscanHD_29052019_1122_(CytoScanHD_Array)
MPC_291;MM_cytoscanHD_29052019_1123_(CytoScanHD_Array)
MPC_417;MM_cytoscanHD_29052019_1124_(CytoScanHD_Array)
MPC_516;MM_cytoscanHD_13062019_1127_(CytoScanHD_Array)
MPC_856;MM_cytoscanHD_13062019_1128_(CytoScanHD_Array)
MPC_838;MM_cytoscanHD_13062019_1129_(CytoScanHD_Array)
MPC_940;MM_cytoscanHD_13062019_1130_(CytoScanHD_Array)
MPC_227;MM_cytoscanHD_26062019_1131_(CytoScanHD_Array)
MPC_371;MM_cytoscanHD_26062019_1133_(CytoScanHD_Array)
MPC_421;MM_cytoscanHD_26062019_1134_(CytoScanHD_Array)_2
MPC_2654;MM_cytoscanHD_26062019_1135_(CytoScanHD_Array)_2
MPC_389;MM_cytoscanHD_26062019_1136_(CytoScanHD_Array)
MPC_272;MM_cytoscanHD_27062019_1140_(CytoScanHD_Array)
